	Topic	2026 Spring's Lecture	2025 Spring's Lecture	Comment
12-Jan	"*YALE* Spring term classes begin, 8.20 a.m."			
					
12-Jan	Introduction	26i1-26i2a	25i1-25i2a	
14-Jan	DATA 3 - Proteomics I	26d3	25d3	[Study Guide](https://files.gersteinlab.org/public-docs/2026/01.14/proteomics-overview-and-lecture-study-guide.docx)	
19-Jan	Martin Luther King Jr. Day; classes do not meet				
21-Jan	DATA 4 - Proteomics II	26d4	25d4		
26-Jan	DATA 1 - Genomics I		26d1	25d1		
28-Jan	DATA 2 - Genomics II	26d2	25d2		
2-Feb	DATA 5 - Knowledge Representation & Databases		25d5		
4-Feb	MINING - Personal Genomes + Seq. Comparison 		"25i2b,23m3"		
9-Feb	MINING -  Seq. Comparison (con't) + Multi-seq Alignment + Fast Alignment		"25m3, 25m4, 25m5"		
11-Feb	MINING -  Variant Calling (incl. a focused section on SVs)+ Basic Multi-Omics 		"25m6a，25m6b, 25m7   "		
16-Feb	Quiz on 1st Half				
18-Feb	MINING - Basic Multi-Omics(con’t) + GWAS/QTL + Supervised Mining (DT+ SVM)		"25m7, 25m8a, 25m8b        "		
23-Feb	MINING - Supervised Mining #2 + Network Prediction+ Unsupervised Mining		"25m8c, 25m10e, 25m9a, 25m9c "		
25-Feb	MINING - Deep Learning Fundamentals #1 + #2		"25t3, 25t4"		
2-Mar	MINING - Biomed. Image Processing + RNN + GNN 		25t2		
4-Mar	MINING - Gen AI  + Network Topo. 		25m10a		
					
					
6-Mar	Spring break begins				
23-Mar	"Class Resume, 8:20AM"				
					
23-Mar	Deep Learning Advanced		"25m12a, 25m12b	"		
25-Mar	Single cell		"25m9e, 25t1"		
30-Mar	Privacy		"25m11a,25m11b"		
1-Apr	MODELING 1 - Protein Simulation I		25s1		
6-Apr	MODELING 2 - Protein Simulation II		25s2		
8-Apr	Quiz on 2nd Half				
13-Apr	MODELING 3 - Protein Simulation III		25s3		
15-Apr	MODELING 4 - Protein Simulation IV		25s4		
20-Apr	MODELING 5 - Protein Simulation V		25s5		
22-Apr	Final Presentations				
24-Apr	*YALE* Classes end; Reading period begins				
29-Apr	*YALE* Final examinations begin				
6-May	*YALE* Final examinations end				